Mapping parameters for Caretta caretta (loggerhead turtle)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."


Map data (HSPEC) for predicted occurrences (n = 13089): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Caretta,caretta,1.75,9.25,1000:219:3,0.02
Caretta,caretta,4.75,6.75,1000:246:4,0.02
Caretta,caretta,4.75,7.25,1000:247:3,0.02
Caretta,caretta,4.25,9.75,1000:249:2,0.04
Caretta,caretta,6.75,3.25,1000:363:3,0.05
Caretta,caretta,6.75,3.75,1000:363:4,0.02
Caretta,caretta,5.25,5.75,1000:455:2,0.02
Caretta,caretta,5.75,5.75,1000:455:4,0.02
Caretta,caretta,3.25,10.25,1001:130:1,0.02
Caretta,caretta,1.25,43.75,1004:113:2,0.06
Caretta,caretta,4.75,48.75,1004:248:4,0.09
Caretta,caretta,8.25,49.75,1004:489:2,0.13
Caretta,caretta,9.25,75.75,1007:495:2,0.16
Caretta,caretta,6.75,80.25,1008:360:3,0.13
Caretta,caretta,8.75,81.75,1008:381:4,0.13
Caretta,caretta,2.75,99.75,1009:229:4,0.03
Caretta,caretta,3.75,95.75,1009:235:4,0.01
Caretta,caretta,3.25,99.25,1009:239:1,0.06
Caretta,caretta,9.75,92.75,1009:392:4,0.10
Caretta,caretta,5.75,97.25,1009:457:3,0.13
Caretta,caretta,6.25,98.25,1009:468:1,0.19
Caretta,caretta,8.75,97.25,1009:487:3,0.08
Caretta,caretta,8.25,99.25,1009:489:1,0.01
Caretta,caretta,0.25,102.75,1010:102:2,0.01
Caretta,caretta,0.75,102.25,1010:102:3,0.01
Caretta,caretta,0.75,102.75,1010:102:4,0.01
Caretta,caretta,0.25,103.25,1010:103:1,0.15
Caretta,caretta,1.75,100.75,1010:110:4,0.01
Caretta,caretta,1.75,101.25,1010:111:3,0.02
Caretta,caretta,1.75,103.75,1010:113:4,0.02
Caretta,caretta,5.75,102.25,1010:352:3,0.13
Caretta,caretta,7.25,109.75,1010:479:2,0.05
Caretta,caretta,9.75,105.75,1010:495:4,0.02
Caretta,caretta,1.25,111.25,1011:111:1,0.01
Caretta,caretta,2.25,111.75,1011:121:2,0.01
Caretta,caretta,2.75,112.25,1011:122:3,0.09
Caretta,caretta,4.25,114.25,1011:144:1,0.03
Caretta,caretta,0.25,117.25,1011:207:1,0.03
Caretta,caretta,1.25,117.75,1011:217:2,0.02
Caretta,caretta,1.25,118.25,1011:218:1,0.03
Caretta,caretta,3.75,117.25,1011:237:3,0.01
Caretta,caretta,3.25,118.25,1011:238:1,0.17
Caretta,caretta,4.25,117.25,1011:247:1,0.01
Caretta,caretta,5.75,110.75,1011:350:4,0.11
Caretta,caretta,5.75,111.75,1011:351:4,0.19
Caretta,caretta,6.25,110.25,1011:360:1,0.11
Caretta,caretta,7.75,113.25,1011:373:3,0.06
Caretta,caretta,5.75,117.75,1011:457:4,0.11
Caretta,caretta,5.25,118.25,1011:458:1,0.03
Caretta,caretta,6.25,119.25,1011:469:1,0.02
Caretta,caretta,7.25,115.75,1011:475:2,0.13
Caretta,caretta,8.25,118.25,1011:488:1,0.19
Caretta,caretta,0.75,121.25,1012:101:3,0.03
Caretta,caretta,0.75,121.75,1012:101:4,0.03
Caretta,caretta,0.75,122.25,1012:102:3,0.03
Caretta,caretta,0.75,122.75,1012:102:4,0.06
Caretta,caretta,2.25,125.75,1012:225:2,0.04
Caretta,caretta,3.25,125.25,1012:235:1,0.02
Caretta,caretta,4.25,125.25,1012:245:1,0.09
Caretta,caretta,6.75,123.75,1012:363:4,0.15
Caretta,caretta,9.25,120.25,1012:390:1,0.05
Caretta,caretta,5.75,145.75,1014:455:4,0.13
Caretta,caretta,7.75,147.25,1014:477:3,0.06
Caretta,caretta,7.75,148.25,1014:478:3,0.04
Caretta,caretta,8.25,148.25,1014:488:1,0.13
Caretta,caretta,7.25,151.25,1015:371:1,0.19
Caretta,caretta,19.75,38.25,1103:498:3,0.06
Caretta,caretta,19.25,39.75,1103:499:2,0.18
Caretta,caretta,11.25,43.25,1104:113:1,0.04
Caretta,caretta,12.75,42.75,1104:122:4,0.19
Caretta,caretta,14.75,43.25,1104:143:3,0.03
Caretta,caretta,13.25,47.25,1104:237:1,0.01
Caretta,caretta,17.25,40.25,1104:370:1,0.16
Caretta,caretta,17.25,40.75,1104:370:2,0.19
Caretta,caretta,17.25,42.75,1104:372:2,0.13
Caretta,caretta,18.25,40.25,1104:380:1,0.01
Caretta,caretta,18.75,40.25,1104:380:3,0.18
Caretta,caretta,19.25,40.75,1104:390:2,0.19
Caretta,caretta,14.75,51.25,1105:141:3,0.09
Caretta,caretta,11.75,74.25,1107:114:3,0.04
Caretta,caretta,11.25,75.75,1107:215:2,0.15
Caretta,caretta,18.75,73.25,1107:383:3,0.03
Caretta,caretta,19.25,73.25,1107:393:1,0.03
Caretta,caretta,16.75,83.25,1108:363:3,0.10
Caretta,caretta,13.75,94.25,1109:134:3,0.06
Caretta,caretta,10.25,96.75,1109:206:2,0.07
Caretta,caretta,11.25,96.75,1109:216:2,0.06
Caretta,caretta,12.25,96.75,1109:226:2,0.13
Caretta,caretta,16.25,94.75,1109:364:2,0.03
Caretta,caretta,16.75,94.75,1109:364:4,0.02
Caretta,caretta,19.75,91.75,1109:391:4,0.14
Caretta,caretta,16.25,95.25,1109:465:1,0.03
Caretta,caretta,16.75,96.25,1109:466:3,0.04
Caretta,caretta,16.25,97.75,1109:467:2,0.10
Caretta,caretta,16.75,97.75,1109:467:4,0.01
Caretta,caretta,13.75,100.25,1110:130:3,0.18
Caretta,caretta,13.75,100.75,1110:130:4,0.17
Caretta,caretta,10.25,106.25,1110:206:1,0.02
Caretta,caretta,10.75,106.75,1110:206:4,0.02
Caretta,caretta,10.75,107.25,1110:207:3,0.17
Caretta,caretta,10.75,109.75,1110:209:4,0.19
Caretta,caretta,18.25,105.75,1110:485:2,0.07
Caretta,caretta,19.75,107.25,1110:497:3,0.17
Caretta,caretta,19.75,107.75,1110:497:4,0.17
Caretta,caretta,19.75,109.75,1110:499:4,0.11
Caretta,caretta,10.25,115.25,1111:205:1,0.18
Caretta,caretta,10.75,115.25,1111:205:3,0.12
Caretta,caretta,10.75,117.75,1111:207:4,0.15
Caretta,caretta,11.25,115.25,1111:215:1,0.02
Caretta,caretta,16.25,111.25,1111:361:1,0.11
